inst#,actual,predicted,error,prediction
134,1:?,1:no,,0.888
135,1:?,1:no,,0.854
136,1:?,1:no,,0.895
137,1:?,1:no,,0.863
138,1:?,1:no,,1
139,1:?,1:no,,1
140,1:?,1:no,,0.996
141,1:?,1:no,,0.978
142,1:?,1:no,,1
143,1:?,1:no,,0.731
144,1:?,1:no,,1
145,1:?,1:no,,0.996
146,1:?,1:no,,0.595
147,1:?,1:no,,0.752
148,1:?,1:no,,1
149,1:?,1:no,,0.951
150,1:?,1:no,,0.902
151,1:?,1:no,,1
152,1:?,1:no,,0.932
153,1:?,1:no,,0.999
154,1:?,1:no,,1
155,1:?,1:no,,0.974
156,1:?,1:no,,1
157,1:?,1:no,,0.962
158,1:?,1:no,,0.566
159,1:?,1:no,,1
160,1:?,1:no,,1
161,1:?,1:no,,1
162,1:?,1:no,,1
163,1:?,1:no,,0.713
164,1:?,2:return,,0.995
165,1:?,1:no,,0.999
166,1:?,1:no,,0.948
167,1:?,1:no,,1
168,1:?,1:no,,0.993
169,1:?,2:return,,0.846
170,1:?,1:no,,0.996
171,1:?,1:no,,0.947
172,1:?,1:no,,1
173,1:?,1:no,,1
174,1:?,1:no,,1
175,1:?,1:no,,0.994
176,1:?,1:no,,0.989
177,1:?,1:no,,1
178,1:?,1:no,,0.974
179,1:?,1:no,,1
180,1:?,1:no,,1
181,1:?,1:no,,1
182,1:?,1:no,,0.999
183,1:?,1:no,,0.592
184,1:?,1:no,,0.892
185,1:?,1:no,,0.975
186,1:?,1:no,,0.979
187,1:?,1:no,,0.978
188,1:?,1:no,,0.999
189,1:?,1:no,,1
190,1:?,1:no,,1
191,1:?,1:no,,0.958
192,1:?,1:no,,0.997
193,1:?,1:no,,0.761
194,1:?,1:no,,1
195,1:?,1:no,,0.793
196,1:?,1:no,,1

